year,Alzheimer's,Breast cancer,Colon cancer,Diabetes,Heart disease,Lung disease,Pancreatic cancer,Prostate cancer,Septicaemia,Stroke
1999,70764,41517,46379,39748,549320,299597,28691,31729,27386,91051
2000,80154,42290,46652,40424,536007,303428,28980,31078,27957,90379
2001,89023,41804,46038,41531,524752,304967,29456,30719,29077,88670
2002,98408,41880,45918,42486,517547,312494,29948,30446,30620,86879
2003,106610,41988,45309,43286,504624,313678,30468,29554,31183,82472
2004,110204,41309,43101,42620,474453,307209,31507,29004,30588,76481
2005,121363,41485,42657,43786,469068,318640,32499,28905,31205,74416
2006,135654,41206,42673,41992,451358,308955,33222,28372,31290,72476
2007,144889,40964,42643,40807,428844,310595,33912,29093,31912,71117
2008,163603,41014,41982,39718,427383,300906,35029,28472,32930,70638
2009,162010,41070,40681,38197,408946,295117,35428,28088,32690,68178
2010,178889,41430,40533,38122,403010,299279,36639,28561,32089,68356
2011,194146,41365,40201,33790,398971,303320,37146,27970,33070,67132
2012,203395,41552,39959,34153,396890,304147,38587,27245,33308,66416
2013,211563,41313,39970,29876,398956,310070,38777,27682,35388,65713
2014,213324,41665,39834,30053,396123,307143,40181,28344,36336,65507
